open,high,low,close,tick_volume,spread,time,date
44739.4,44742.4,44704.8,44721.9,1041,520,2025-07-04 05:00:00,1751605200
44721.4,44724.9,44691.4,44695.4,739,520,2025-07-04 06:00:00,1751608800
44694.4,44702.4,44668.3,44678.9,997,520,2025-07-04 07:00:00,1751612400
44680.4,44709.4,44670.4,44708.4,979,520,2025-07-04 08:00:00,1751616000
44707.9,44710.5,44664.0,44668.0,1639,500,2025-07-04 09:00:00,1751619600
44668.5,44689.0,44576.5,44578.0,2442,500,2025-07-04 10:00:00,1751623200
44577.0,44600.0,44536.0,44564.5,2245,500,2025-07-04 11:00:00,1751626800
44563.5,44595.0,44549.0,44584.5,2435,500,2025-07-04 12:00:00,1751630400
44585.5,44597.5,44499.0,44528.5,2243,500,2025-07-04 13:00:00,1751634000
44530.0,44581.0,44522.5,44573.0,2287,500,2025-07-04 14:00:00,1751637600
44572.5,44587.0,44550.0,44570.5,1711,500,2025-07-04 15:00:00,1751641200
44571.0,44611.6,44553.1,44609.1,2912,480,2025-07-04 16:00:00,1751644800
44609.6,44627.8,44582.8,44611.8,2254,480,2025-07-04 17:00:00,1751648400
44610.3,44623.3,44557.8,44570.8,2042,480,2025-07-04 18:00:00,1751652000
44571.3,44601.3,44545.8,44562.8,1763,480,2025-07-04 19:00:00,1751655600
44749.9,44773.8,44668.4,44676.4,1487,530,2025-07-07 01:00:00,1751850000
44675.4,44713.9,44667.4,44683.4,1483,520,2025-07-07 02:00:00,1751853600
44682.9,44732.8,44672.9,44718.5,1669,520,2025-07-07 03:00:00,1751857200
44716.0,44728.0,44661.4,44681.0,2599,530,2025-07-07 04:00:00,1751860800
44680.5,44700.0,44661.9,44668.0,1523,520,2025-07-07 05:00:00,1751864400
44667.5,44694.6,44638.5,44690.1,1140,520,2025-07-07 06:00:00,1751868000
44688.6,44717.5,44667.0,44673.1,1036,520,2025-07-07 07:00:00,1751871600
44672.6,44706.0,44664.0,44691.1,1131,520,2025-07-07 08:00:00,1751875200
44690.1,44692.2,44650.7,44673.7,2084,500,2025-07-07 09:00:00,1751878800
44674.7,44696.6,44653.7,44686.7,2867,500,2025-07-07 10:00:00,1751882400
44687.7,44764.2,44687.2,44725.2,2541,500,2025-07-07 11:00:00,1751886000
44726.2,44825.6,44716.2,44824.1,1676,500,2025-07-07 12:00:00,1751889600
44824.6,44834.7,44779.2,44780.7,1866,500,2025-07-07 13:00:00,1751893200
44782.7,44826.2,44779.7,44821.7,1474,500,2025-07-07 14:00:00,1751896800
44818.7,44848.2,44741.6,44749.6,2158,500,2025-07-07 15:00:00,1751900400
44750.1,44788.7,44659.7,44747.8,7627,480,2025-07-07 16:00:00,1751904000
44747.3,44756.8,44562.8,44590.8,8617,480,2025-07-07 17:00:00,1751907600
44588.8,44599.8,44428.8,44483.5,6718,480,2025-07-07 18:00:00,1751911200
44484.5,44519.5,44268.4,44301.4,10311,480,2025-07-07 19:00:00,1751914800
44300.4,44418.9,44277.4,44307.7,8382,480,2025-07-07 20:00:00,1751918400
44308.7,44346.2,44149.1,44339.0,8527,480,2025-07-07 21:00:00,1751922000
44337.0,44411.4,44271.9,44403.4,7435,480,2025-07-07 22:00:00,1751925600
44401.9,44401.9,44262.8,44290.3,2201,480,2025-07-07 23:00:00,1751929200
44313.8,44315.3,44234.4,44281.5,1520,530,2025-07-08 01:00:00,1751936400
44281.0,44327.0,44273.9,44326.5,1470,520,2025-07-08 02:00:00,1751940000
44326.0,44359.9,44290.9,44346.4,2374,530,2025-07-08 03:00:00,1751943600
44345.9,44373.5,44321.9,44336.5,1671,520,2025-07-08 04:00:00,1751947200
44337.0,44384.0,44334.0,44379.5,1226,520,2025-07-08 05:00:00,1751950800
